forecast_date,day_name,is_weekend,cluster,cluster_enc,day_of_week,week,avg_priority,peak_hour_frac,rolling_7_mean,rolling_7_std,rolling_7_max,spike_probability,predicted_spike,top_junction,risk_score,risk_tier,center_lat,center_lon,alert_level,recommended_deploy_hour,dispatch_instruction
2024-04-09,Tue,0,60,557,1,15,2.3435374149659864,0.3435374149659864,4.428571428571429,2.5727509827124,7,0.689,1,No Junction,6.44,🟠 HIGH,12.937186932243607,77.58496069902392,🟠 HIGH,1,⚠️ DEPLOY 1 unit at 1:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,646,608,1,15,2.4285714285714284,0.0,1.8571428571428572,1.4638501094227998,5,0.688,1,"BTP099 - Cash Pharmacy, Residency Road",3.95,🟡 MEDIUM,12.966986852380952,77.60041713333332,🟠 HIGH,2,"⚠️ DEPLOY 1 unit at 2:00. Issue penalties. Zone: BTP099 - Cash Pharmacy, Residency Road"
2024-04-09,Tue,0,294,217,1,15,2.3918367346938774,0.30612244897959184,4.571428571428571,2.63673679998231,8,0.686,1,No Junction,6.21,🟠 HIGH,12.935901875,77.51794080740741,🟠 HIGH,2,⚠️ DEPLOY 1 unit at 2:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,436,375,1,15,4.24537037037037,0.037037037037037035,15.666666666666666,7.637626158259733,24,0.686,1,No Junction,5.28,🟠 HIGH,12.931539546808512,77.6928028531915,🟠 HIGH,1,⚠️ DEPLOY 1 unit at 1:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,518,466,1,15,2.4285714285714284,0.0,2.2857142857142856,1.1126972805283737,4,0.685,1,No Junction,2.05,🟡 MEDIUM,12.993260154545451,77.59589173181818,🟠 HIGH,2,⚠️ DEPLOY 1 unit at 2:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,160,69,1,15,3.0,0.14285714285714285,2.7142857142857144,2.984084768360628,9,0.685,1,No Junction,6.82,🟠 HIGH,12.87050192832764,77.65455591264092,🟠 HIGH,7,⚠️ DEPLOY 1 unit at 7:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,643,605,1,15,2.642857142857143,0.0,1.8571428571428572,1.2149857925879117,4,0.684,1,BTP119 - Minerva Circle,3.88,🟡 MEDIUM,12.9556353,77.58049100625,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: BTP119 - Minerva Circle
2024-04-09,Tue,0,455,396,1,15,6.066790352504638,0.42857142857142855,4.0,3.872983346207417,11,0.683,1,No Junction,6.43,🟠 HIGH,12.981262778840392,77.64070497952692,🟠 HIGH,21,⚠️ DEPLOY 1 unit at 21:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,179,89,1,15,3.1633699633699632,0.07692307692307691,10.0,4.795831523312719,15,0.683,1,No Junction,6.78,🟠 HIGH,12.936293905635903,77.6923795833133,🟠 HIGH,22,⚠️ DEPLOY 1 unit at 22:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,452,393,1,15,3.1904761904761902,0.5476190476190477,4.428571428571429,3.4086724129853865,11,0.682,1,BTP063 - Siddalingaiah Circle,7.33,🔴 CRITICAL,12.972264065454546,77.59389987454546,🟠 HIGH,3,⚠️ DEPLOY 1 unit at 3:00. Issue penalties. Zone: BTP063 - Siddalingaiah Circle
2024-04-09,Tue,0,85,834,1,15,5.166666666666667,0.6666666666666666,3.3333333333333335,4.041451884327381,8,0.682,1,No Junction,3.74,🟡 MEDIUM,12.906553222338184,77.54508871099071,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,415,352,1,15,2.4693877551020407,0.2857142857142857,4.428571428571429,5.1269595556932455,15,0.682,1,No Junction,5.69,🟠 HIGH,12.936981622429776,77.70270666342196,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,655,618,1,15,3.0,0.14285714285714285,3.142857142857143,2.7945525240230875,8,0.682,1,No Junction,4.11,🟠 HIGH,12.870408122727271,77.65733840454546,🟠 HIGH,21,⚠️ DEPLOY 1 unit at 21:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,675,640,1,15,2.857142857142857,0.0,1.7142857142857142,1.1126972805283735,4,0.682,1,No Junction,2.66,🟡 MEDIUM,13.00816033125,77.57990519375,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: No Junction
