cluster,forecast_date,day_name,alert_level,spike_probability,top_junction,risk_score,risk_tier,center_lat,center_lon
149,2024-04-09,Tue,🔴 CRITICAL,0.848,BTP140 - Madiwala Check Post,4.51,🟠 HIGH,12.931803046428572,77.61381991785713
96,2024-04-09,Tue,🔴 CRITICAL,0.847,"BTP115 - Sahasra Hospital, Jayanagar",6.36,🟠 HIGH,12.917230879054989,77.57354585767695
685,2024-04-09,Tue,🔴 CRITICAL,0.847,No Junction,3.31,🟡 MEDIUM,12.907256233333332,77.63538347619048
167,2024-04-09,Tue,🔴 CRITICAL,0.846,"BTP123 - 10th Cross, Wilson Garden",6.28,🟠 HIGH,12.948928762184874,77.59784768991597
178,2024-04-09,Tue,🔴 CRITICAL,0.846,No Junction,4.98,🟠 HIGH,13.026461887179488,77.72052914871794
298,2024-04-09,Tue,🔴 CRITICAL,0.846,No Junction,6.78,🟠 HIGH,12.909656083995646,77.55010167321035
815,2024-04-09,Tue,🔴 CRITICAL,0.846,BTP054 - Shivananda Circle,4.54,🟠 HIGH,12.986506510000002,77.57974298500001
553,2024-04-09,Tue,🔴 CRITICAL,0.845,"BTP177 - Aurobindo Circle, ORR",5.73,🟠 HIGH,12.915287623684211,77.58582061315789
765,2024-04-09,Tue,🔴 CRITICAL,0.845,No Junction,2.7,🟡 MEDIUM,12.897618501758362,77.63484485623472
574,2024-04-09,Tue,🔴 CRITICAL,0.843,No Junction,6.64,🟠 HIGH,12.968528748614498,77.64989446949056
50,2024-04-09,Tue,🔴 CRITICAL,0.842,No Junction,5.26,🟠 HIGH,13.02285230412844,77.59287173486238
228,2024-04-09,Tue,🔴 CRITICAL,0.842,No Junction,3.74,🟡 MEDIUM,13.09916070263158,77.57706523947368
670,2024-04-09,Tue,🔴 CRITICAL,0.842,No Junction,3.82,🟡 MEDIUM,13.042467057692308,77.5905979423077
216,2024-04-09,Tue,🔴 CRITICAL,0.841,"BTP117 - 9th Cross, Kanakapura Road",6.21,🟠 HIGH,12.91551595319149,77.57352253191489
432,2024-04-09,Tue,🔴 CRITICAL,0.841,BTP051 - Safina Plaza Junction,3.13,🟡 MEDIUM,12.97799486111111,77.60970072777778
62,2024-04-09,Tue,🔴 CRITICAL,0.84,BTP166 - Coffee Board Junction,4.96,🟠 HIGH,12.985360124731182,77.59406941075268
560,2024-04-09,Tue,🔴 CRITICAL,0.84,BTP214 - 5th Main Chamrajpet  Junction,5.25,🟠 HIGH,12.97604214,77.53225277499999
648,2024-04-09,Tue,🔴 CRITICAL,0.84,BTP063 - Siddalingaiah Circle,2.49,🟡 MEDIUM,12.97128570625,77.59387164374999
